Virus Name,Virus Protein,Human Protein,Bait_Prey,PreyGene,MIST,Reproducibility,Specificity,Abundance,SaintScore,BFDR,AvgSpec,Spec,CtrlCounts,FoldChange
SARS-CoV2,nsp9,P24666,nsp9-P24666,ACP1,0.014906077,0.00000000,0.021742716,0.000206124,0,0.69,0.33,1|0|0,2|0|2|3|2|0|0|1|3|0|1,0.26
SARS-CoV2,nsp9,P24752,nsp9-P24752,ACAT1,0.091433518,0.00000000,0.13337962,7.63E-05,0,0.69,0.33,1|0|0,0|0|0|0|0|0|0|0|0|0|0,3.33
SARS-CoV2,nsp9,P25205,nsp9-P25205,MCM3,0.183447681,0.55859402,0.016197625,0.000173573,0,0.69,1.33,3|0|1,6|4|4|3|4|0|0|2|3|2|7,0.42
SARS-CoV2,nsp9,P25398,nsp9-P25398,RPS12,0.313692562,0.96983291,0.021083707,0.002839429,0,0.69,3.33,5|3|2,8|7|7|7|5|3|4|4|9|2|3,0.62
SARS-CoV2,nsp9,P25440,nsp9-P25440,BRD2,0.024314575,0.00000000,0.035468969,4.07E-05,0,0.69,0.33,1|0|0,0|0|0|1|0|0|0|0|0|0|0,3.33
SARS-CoV2,nsp9,P25705,nsp9-P25705,ATP5F1A,0.307324572,0.96640212,0.013357037,0.000695352,0,0.69,3.33,4|4|2,4|5|7|4|8|5|3|4|5|6|4,0.67
SARS-CoV2,nsp9,P25786,nsp9-P25786,PSMA1,0.087797537,0.00000000,0.128074832,0.000160808,0,0.69,0.33,0|1|0,0|0|1|0|0|0|0|0|0|0|0,3.33
SARS-CoV2,nsp9,P26196,nsp9-P26196,DDX6,0.204137876,0.62322727,0.017290254,0.00015499,0,0.69,0.67,1|1|0,1|3|1|1|3|3|0|0|3|1|2,0.41
SARS-CoV2,nsp9,P26368,nsp9-P26368,U2AF2,0.332227516,0.99855412,0.0351908,0.003350305,0,0.69,13.67,15|13|13,15|16|16|24|18|16|11|13|16|10|11,0.91
SARS-CoV2,nsp9,P26373,nsp9-P26373,RPL13,0.27642406,0.83907408,0.025580116,0.001528603,0,0.59,3,6|2|1,3|4|6|4|1|3|3|3|5|4|3,0.85
SARS-CoV2,nsp9,P26583,nsp9-P26583,HMGB2,0.346315767,0.99793843,0.055956558,0.010577673,0,0.66,19,21|19|17,9|13|12|20|16|14|4|13|13|7|10,1.6
SARS-CoV2,nsp9,P26599,nsp9-P26599,PTBP1,0.325126574,0.95185678,0.045868194,0.001190593,0,0.6,5.67,9|5|3,7|7|6|6|3|3|2|3|8|5|4,1.15
SARS-CoV2,nsp9,P26641,nsp9-P26641,EEF1G,0.324804153,0.99792134,0.024670444,0.000611846,0,0.69,2.33,3|2|2,5|3|6|5|5|3|5|4|4|2|4,0.56
SARS-CoV2,nsp9,P26885,nsp9-P26885,FKBP2,0.008495968,0.00000000,0.012391652,0.000229349,0,0.69,0.33,1|0|0,1|2|2|2|1|1|1|0|2|1|1,0.26
SARS-CoV2,nsp9,P27635,nsp9-P27635,RPL10,0.316811134,0.95168419,0.033804725,0.002438728,0,0.69,4.33,3|5|5,7|6|6|6|5|5|5|7|6|3|3,0.81
SARS-CoV2,nsp9,P27694,nsp9-P27694,RPA1,0.08908961,0.00000000,0.129959686,0.000158609,0.3,0.32,1,3|0|0,0|1|0|1|1|0|0|0|1|0|0,2.75
SARS-CoV2,nsp9,P27695,nsp9-P27695,APEX1,0.31679596,0.90926458,0.052869898,0.002972537,0.2,0.38,8.67,16|5|5,6|5|3|15|8|5|2|4|2|2|3,1.73
SARS-CoV2,nsp9,P27708,nsp9-P27708,CAD,0.324469044,0.96640212,0.038372136,8.64E-05,0.34,0.17,1.67,2|2|1,0|0|0|1|1|1|0|2|0|0|1,3.06
SARS-CoV2,nsp9,P27816,nsp9-P27816,MAP4,0.308522785,0.91207160,0.039561465,0.000260587,0,0.62,2.67,4|1|3,6|2|3|4|2|4|3|2|4|4|3,0.79
SARS-CoV2,nsp9,P28799,nsp9-P28799,GRN,0.018856113,0.00000000,0.027506073,7.13E-05,0,0.69,0.33,0|1|0,0|0|2|2|3|0|0|3|1|0|0,0.33
SARS-CoV2,nsp9,P29372,nsp9-P29372,MPG,0.319907472,0.98084912,0.025201754,0.001684343,0,0.69,4.33,5|5|3,6|6|8|8|10|4|6|6|7|8|6,0.64
SARS-CoV2,nsp9,P29597,nsp9-P29597,TYK2,0.393888436,0.99338499,0.127494532,9.89E-05,0,0.69,1,1|1|1,0|0|1|1|0|1|0|0|1|1|1,1.83
SARS-CoV2,nsp9,P29692,nsp9-P29692,EEF1D,0.318113917,0.99338499,0.016954323,0.00041781,0,0.69,1,1|1|1,2|1|4|1|4|3|3|3|6|2|3,0.34
SARS-CoV2,nsp9,P30041,nsp9-P30041,PRDX6,0.334770505,0.95547661,0.058303934,0.001573507,0,0.58,3,3|2|4,3|6|5|4|3|2|1|1|2|2|1,1.1
SARS-CoV2,nsp9,P30048,nsp9-P30048,PRDX3,0.005540074,0.00000000,0.008080238,0.000166189,0,0.69,0.33,0|0|1,3|1|4|2|2|0|0|1|2|2|3,0.18
SARS-CoV2,nsp9,P30050,nsp9-P30050,RPL12,0.022771336,0.00000000,0.033207797,0.001184277,0.15,0.42,2,6|0|0,2|5|5|4|0|0|2|0|5|0|0,0.96
SARS-CoV2,nsp9,P30101,nsp9-P30101,PDIA3,0.32330713,0.99333619,0.024547694,0.000910181,0,0.69,4,5|4|3,8|7|8|9|6|4|2|4|8|7|6,0.64
SARS-CoV2,nsp9,P30419,nsp9-P30419,NMT1,0.271676456,0.61019476,0.121676541,0.000433177,0.58,0.11,2,4|2|0,0|0|0|2|0|0|0|0|0|0|1,7.33
SARS-CoV2,nsp9,P30533,nsp9-P30533,LRPAP1,0.333193741,0.96257762,0.052811343,0.00116834,0,0.6,3.67,5|4|2,2|7|2|7|4|3|1|1|2|5|3,1.09
